,Dzyga BOX,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Холодні закуски,,,,,,
1,Healthy box,875,,"1 295,00 грн.","0,00 грн.",,
,"Брускета з хумусом, маслинами та оливками",40,5,,,,
,Брускета із запеченим перцем та бальзамічним соусом,50,5,,,,
,Брускета з авокадо та в'яленим томатом,50,5,,,,
,Соте із запечених овочів на сервірованій ложці,35,5,,,,
2,Бокс із профітролями,700,,"1 688,00 грн.","0,00 грн.",,
,Профітроль з копченою фореллю та зеленню,35,5,,,,
,Профітроль з індичкою та шинкою,35,5,,,,
,Профітроль з курячим паштетом та корнішонами,35,5,,,,
,Профітроль з печерицями та вершковим сиром,35,5,,,,
3,Кіш Лорен бокс,875,,"1 884,00 грн.","0,00 грн.",,
,Кіш лорен з беконом та цукіні,40,7,,,,
,Кіш лорен з лососем та шпинатом,40,7,,,,
,Кіш лорен з куркою та грибами,45,7,,,,
4,Smart box,725,,"1 752,00 грн.","0,00 грн.",,
,Закуска з телятини су-від з руколою та рисом у листі норі,30,5,,,,
,Канапе з копченим баликом та півсферою з манго,35,5,,,,
,"Закуска з сиру маасдам, креветкою та соусом каррі",10/15/5,5,,,,
,Мус із тунця в тарталетці,50,5,,,,
5,Snacks box,1125,,"2 749,00 грн.","0,00 грн.",,
,Брускета з тартаром із лосося,60,5,,,,
,Брускета з авокадо та тигровою креветкою,60,5,,,,
,Брускета з грінок з пармською шинкою та томатами конфі.,10/25/10,5,,,,
,Брускета з курячим в'яленим філе та малиновою півсферою,60,5,,,,
6,Meat box,775,,"1 833,00 грн.","0,00 грн.",,
,Фінік із вершковим сиром та слайсом хамону,25,5,,,,
,Іспанський хамон слайс манго гриль зі смородиновим соусом,35,5,,,,
,"Капрезе з хамоном: бебі-моцарелла, чері-томат та соус песто",60,5,,,,
,Груша із слайсом прошутто з соусом шафран,35,5,,,,
7,Брускета бокс,850,,"1 505,00 грн.","0,00 грн.",,
,"Брускета з копченою грудинкою, помідорами чері та півсферою з манго",45,5,,,,
,Брускета з сиром дор блю та скибочками карамелізованої груші,45,5,,,,
,Брускета з іспанським хамоном та грушею,45,5,,,,
,"Брускета з салямі, томатом конфі та слайсом пармезану",35,5,,,,
8,Бокс із рибними закусками,825,,"1 884,00 грн.","0,00 грн.",,
,Брускета зі скумбрією на подушці з грейпфрута та сиру Філадельфії,45,5,,,,
,"Тапас із сиру пармезан з оливками, анчоусом та зеленню",15/15/5,5,,,,
,Брускета з скибочками олійної риби з маринованим імбиром,45,5,,,,
,Ніжне філе слабосолоного лосося на тості з молекулярною ікрою,40,5,,,,
9,Круасан сет,1800,,"2 229,00 грн.","0,00 грн.",,
,"Круасан із запеченою куркою су-від, томатами, лист салату, соус",150,4,,,,
,"Круасан зі слайсом шинки, сиром, свіжими овочами, мікс салату, соус",150,4,,,,
,Круасан зі слабосоленим лососем із соусом тар-тар та лист салату,150,4,,,,
10,Бургер бокс,2400,,"3 222,00 грн.","0,00 грн.",,
,Бургер із телятиною,200,4,,,,
,Бургер із куркою,200,4,,,,
,Бургер із запеченими овочами,200,4,,,,
11,Міні-круасан сет,650,,"1 521,00 грн.","0,00 грн.",,
,"Міні-круасан: салямі, корнішон, американська гірчиця, лист салату",40,5,,,,
,"Міні-круасан: ананас, хамон, медово-гірчичний соус, лист салату",45,5,,,,🍯 Мед та продукти з нього
,"Міні-круасан: копчена курка, огірок, соус тар-тар, лист салату",45,5,,,,
12,Міні-бургер бокс,1050,,"1 668,00 грн.","0,00 грн.",,
,"Міні-бургер: лосось, огірок свіжий, лист салату, соус Тар-тар",50,5,,,,
,"Міні-бургер: телятина, сир Чеддер, лист салату, солоний огірок, майонез, кетчуп",55,5,,,,
,"Міні-бургер: курка, сир Чеддер, лист салату, солоний огірок, майонез, кетчуп",55,5,,,,
,"Міні-бургер: запечені овочі, лист салату, йогурт, соус Песто",50,5,,,,
13,Сендвіч сет,1500,,"1 392,00 грн.","0,00 грн.",,
,"Сендвіч: тостовий хліб, шинка, сир, помідор, майонез, кетчуп, зелень",100,5,,,,
,Сендвіч із запеченими овочами та йогуртовим соусом,100,5,,,,
,"Сендвіч: запечене куряче філе, сир, слайс огірка та лист салату",100,5,,,,
14,Бокс із млинцями,1400,,"1 800,00 грн.","0,00 грн.",,
,Млинець з слобосоленою сьомгою і вершковим сиром,40/30,5,,,,
,Млинець з шинкою і вершковим сиром,40/30,5,,,,
,Млинець з курячим пате і скибочками ягідного мармеладу,40/30,5,,,,
,Млинець з сирним мусом і зеленню,40/30,5,,,,
15,Бокс із сирними кульками,700,,"1 655,00 грн.","0,00 грн.",,
,Сирна кулька із зеленню,35,5,,,,"🥜 Горіхи, 🌰 Часник та продукти з них"
,Сирна кулька з паприкою,35,5,,,,"🥜 Горіхи, 🌰 Часник та продукти з них"
,Сирна кулька з лососем,35,5,,,,🌰 Часник та продукти з нього
,Сирна кулька з маринованими грибочками та морквою по-корейськи,35,5,,,,🌰 Часник та продукти з нього
16,Gourmet Fusion,1175,,"2 152,00 грн.","0,00 грн.",,
,Канапе з качкою та карамелізованим гарбузом,60,5,,,,
,Канапе з вишневим мармеладом та свининою,60,5,,,,
,Канапе з курячим філе гриль та яблучною молекулярною напівсферою,55,5,,,,
,Канапе з авокадо та буряковим хумусом,60,5,,,,
17,Chicken box,1025,,"1 833,00 грн.","0,00 грн.",,
,Канапе з курячими фріпсами та соусом Тар-тар,50,5,,,,
,Канапе з курячим філе та салатом Чука,50,5,,,,🥜 Горіхи та продукти з них
,"Канапе з курячою кулькою, сиром та шинкою",50,5,,,,
,"Канапе з курячим напівкопченим філе, маринованою цибулькою та сиром Брі у брусничному соусі",55,5,,,,
18,Бокс із тарталетками,630,,"1 916,00 грн.","0,00 грн.",,
,Тарталетка з куркою та в'яленими томатами,30,7,,,,
,"Тарталетка з інжиром, сиром Горгонзолою та грецькими горіхами",30,7,,,,🥜 Горіхи та продукти з них
,"Тарталетка з хамоном, сиром Брі та грушею",30,7,,,,🍯 Мед та продукти з нього
19,Бокс зі свіжими овочами,1100,,"1 229,00 грн.","0,00 грн.",,
,Помідори чері,250,,,,,
,Огірок,300,,,,,
,Перець болгарський,200,,,,,
,Морква,200,,,,,
,Стебло селери,70,,,,,
,Салат лолла росса,50,,,,,
,Зелень,30,,,,,
20,Бокс із вегетаріанськими закусками,875,,"1 790,00 грн.","0,00 грн.",,
,Рулет із сиру сулугуні з овочами,60,5,,,,
,"Рулетик з баклажану з горіховой пасти, аджики та зерен гранату  (Листя кінзи, баклажани, волоський горіх, часник, петрушка, аджика, вершкове масло, сіль, перець, зерна гранату) ",40,5,,,,"🥜 Горіхи, 🌰 Часник та продукти з них"
,"Рулетик із цукіні та фетою ( цукіні, сир Фелата, шпинат, часник, орегано, сіль, перець)",25,5,,,,🌰 Часник та продукти з нього
,Грибний мус із тофу в тарталетці,50,5,,,,
21,М'ясні солоні профітролі,1125,,"1 630,00 грн.","0,00 грн.",,
,"Профітроль з ніжним кремом з американської гірчиці, хамоном Серрано та слайсом огірка",45,5,,,,
,"Профітроль з вяленою Брезаолою, каперсами та кремом з рожевого хрону",45,5,,,,
,Профітроль з м'ясом Коппа в хроні та крем сирі,45,5,,,,
,"Профітроль з качиною грудкою, яблучним чатні та солодким соусом чілі",45,5,,,,
,"Профітроль з телятиною, болгарським перцем та вершковим хроном",45,5,,,,
22,Рибні солоні профітролі,1000,,"2 200,00 грн.","0,00 грн.",,
,"Профітроль з лососем, буряком та свіжим огірком",40,5,,,,
,"Профітроль з креветкою, гуакамоле з авокадо та помідорами чері",40,5,,,,
,"Профітроль з кунжутним кремом, тунцем в хрусткій скоринці та Аспарагусом",40,5,,,,
,"Профітроль з маринованими мідіями, соусом Унагі та гірчицею в зернах",40,5,,,,🌰 Часник та продукти з нього
,"Профітроль з масляною рибою,кремом зі свіжого огірка та Аспарагусом",40,5,,,,
23,Бокс із ролами з млинців,2100,,"2 723,00 грн.","0,00 грн.",,
,Роли зі шпинатного млинця з лососем,50,12,,,,
,Роли з млинців з м'ясом сніжного краба,50,12,,,,
,Роли з млинців з консервованим тунцем та помідором Чері,50,6,,,,
,Роли з млинців з консервованим тунцем та корнішоном,50,6,,,,
,Роли з млинців з консервованим тунцем та свіжим огірком,50,6,,,,
24,Бокс із млинцевих мішечків,1740,,"1 634,00 грн.","0,00 грн.",,
,Млинцеві мішечки з куркою та грибами ,145,4,,,,
,Млинцеві мішечки з сиром Бринза та зеленню ,145,4,,,,
,Млинцеві мішечки зі свининою та сиром Чечил,145,4,,,,
25,Бокс Український,900,,"1 150,00 грн.","0,00 грн.",,
,"Брускета з курячим паштетом, перепелиним яйцем, редискою та мікрогріном",45,4,,,,🌶️ Перець гострий та продукти з нього
,"Брускета з курячим пате, цибулевим конфітюром та журавлиною",45,4,,,,
,"Брускета з оселедцем, маринованою цибулею-шалот, редискою та гірчицею",45,4,,,,
,"Брускета з салом, копченою грудинкою, корнішоном, зеленою цибулею та хріном на чорному хлібі",45,4,,,,🌶️ Перець гострий та продукти з нього
,Брускета з ростбіфом та півсферою з буряка на ніжному кремі,45,4,,,,🌶️ Перець гострий та продукти з нього
