,Гарячі страви та закуски,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,"Гарячі страви з птиці, кролика",,,,,*приготування на локації,
1,Брошети курячі з Діжонською гірчицею,150,,"226,00 грн.","0,00 грн.",,
2,Брошети курячі Теріякі,100,,"183,00 грн.","0,00 грн.",,
3,Курячий шашличок з цукіні та соусом унагі,160,,"246,00 грн.","0,00 грн.",,
4,"Теріяки курка з ананасом (ананас свіжий, курка, теріяки соус, кунжут)",250,,"393,00 грн.","0,00 грн.",,
5,Брошети курячі з овочами пікантні,100,,"234,00 грн.","0,00 грн.",,🌶️ Перець гострий та продукти з нього
6,Рулетики курячі з базиліком та бринзою із соусом BBQ,100,,"218,00 грн.","0,00 грн.",,
7,Рулетики курячі з копченим окістом,100,,"159,00 грн.","0,00 грн.",,
8,Крила курячі смажені у фритюрі з розмарином на листі салата фрізе,250,,"271,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
9,Крила курячі смажені із соусом BBQ,230/50,,"315,00 грн.","0,00 грн.",,
10,Хрумкі курячі крила з соусом Тар-тар,200/50,,"246,00 грн.","0,00 грн.",,
11,Ніжки курячі BBQ з лимоном,100,,"125,00 грн.","0,00 грн.",,"🌶️ Перець гострий, 🌰 Часник та продукти з них"
12,Курка в кокосовому соусі зі стеблом лемонграсу,100/75/50,,"684,00 грн.","0,00 грн.",,
13,Курка в японському стилі із соєвим соусом,100/40,,"271,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
14,Міні-шашличок з курки з базиліком та лаймом,100/20,,"207,00 грн.","0,00 грн.",,
15,Куряче філе в апельсиново-імбирному соусі,100/50,,"330,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
16,Курка в соусі Бешамель із грибами,260/100,,"385,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
17,"Мигдальна курка з грибами (куряче філе, Амаретто, печериці або глива, вершки, мигдальна стружка)",120/80,,"401,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
18,Філейки курячі з персиковим соусом,150/50/25,,"367,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
