,Канапе/шпажки,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,Канапе/кростіні,,,,,,
1,Канапе з грінок зі скибочками масляной риби х/к та маринованим імбиром,20/15/10,,"128,00 грн.","0,00 грн.",,
2,Канапе з пряною кількою на картоплі,10/15/5,,"44,00 грн.","0,00 грн.",,
3,Канапе з салом та маринованим часником,10/15/10,,"58,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
4,"Канапе з ковбасою с/к, французькими корнішонами та гірчицею",25/10,,"58,00 грн.","0,00 грн.",,
5,"Канапе з сиром, шинкою та гілочкою кропу",10/15/10,,"55,00 грн.","0,00 грн.",,
6,"Канапе з шинкою, гірчицею, болгарським перцем, зеленню",10/15/10,,"55,00 грн.","0,00 грн.",,
7,"Брускета з копченою грудинкою, помідорами чері та скибкою манго",45,,"77,00 грн.","0,00 грн.",,
8,Канапе з лососевою ікрою та зеленню,10/15/5,,"129,00 грн.","0,00 грн.",,
9,Канапе з бужениною та свіжим огірком,35/5,,"53,00 грн.","0,00 грн.",,
10,Канапе з сиром Брі та ковбасою с/к,30/5,,"72,00 грн.","0,00 грн.",,
11,Канапе з салом та корнішоном,45,,"55,00 грн.","0,00 грн.",,
12,Кростіні з оселедцем,55,,"69,00 грн.","0,00 грн.",,
13,"Канапе з пармською шинкою, грушою та в'яленим томатом",45,,"86,00 грн.","0,00 грн.",,
14,Канапе з моцарелою та двома видами томату,45,,"80,00 грн.","0,00 грн.",,
15,Канапе з качкою та карамелізованим гарбузом,60,,"119,00 грн.","0,00 грн.",,
16,Канапе з вишневим мармеладом та свининою,60,,"128,00 грн.","0,00 грн.",,
17,Канапе з курячим філе гриль та яблучною молекулярною напівсферою,55,,"114,00 грн.","0,00 грн.",,
18,Канапе з авокадо та буряковим хумусом,60,,"102,00 грн.","0,00 грн.",,
19,Канапе з курячими фріпсами та соусом Тар-тар,50,,"100,00 грн.","0,00 грн.",,
20,Канапе з курячим філе та салатом Чука,50,,"105,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
21,"Канапе з курячою кулькою, сиром та шинкою",50,,"98,00 грн.","0,00 грн.",,
22,"Канапе з курячим напівкопченим філе, маринованою цибулькою та сиром Брі у брусничному соусі",55,,"94,00 грн.","0,00 грн.",,
23,Канапе з тартаром із лосося та гелем із ківі,60,,"125,00 грн.","0,00 грн.",,
24,"Кростіні з крем сиром, лососем та каперсами",40,,"91,00 грн.","0,00 грн.",,
25,Кростіні з в'яленим томатом і моцарелою,40,,"80,00 грн.","0,00 грн.",,
26,"Кростіні з сиром, манго і халапеньйо",25,,"78,00 грн.","0,00 грн.",,
27,Кростіні з сиром брі та грушею,40,,"72,00 грн.","0,00 грн.",,
28,Кростіні з мусом з авокадо та креветкою,40,,"91,00 грн.","0,00 грн.",,
29,"Кростіні з салямі, французькою гірчицею та огірком",30,,"66,00 грн.","0,00 грн.",,
,Брускети,,,,,,
1,Брускета з томатною сальсою,60,,"77,00 грн.","0,00 грн.",,
2,Брускета з іспанським хамоном та грушою,45,,"81,00 грн.","0,00 грн.",,
3,Брускета з копченим баликом та манго гриль.,30/5,,"76,00 грн.","0,00 грн.",,
4,Брускета з печеним перцем та бальзамічним соусом,60,,"66,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
5,Брускета з авокадо та в'яленим томатом,45,,"73,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
6,Брускета з качиною грудкою та пряною грушею,60,,"138,00 грн.","0,00 грн.",,
7,Брускета з авокадо та тигровою креветкою,60,,"144,00 грн.","0,00 грн.",,
8,Брускета з курячим філе та карамелізованим яблуком,55,,"72,00 грн.","0,00 грн.",,
9,"Брускета з хумусом, маслинами та оливками",40,,"76,00 грн.","0,00 грн.",,
10,"Брускета салямі, в'ялений томат і пармезан",35,,"92,00 грн.","0,00 грн.",,
11,"Брускета із запеченою грушею, сиром брі та малиновий гель.",50,,"95,00 грн.","0,00 грн.",,
12,"Брускета з домашньою фетою, томатами чері та королівською креветкою",50,,"125,00 грн.","0,00 грн.",,
13,"Брускета з томатами чері, соусом песто та фетою",55,,"84,00 грн.","0,00 грн.",,
14,Брускета з ніжним лососем та молекулярним лимонним огірком,55,,"113,00 грн.","0,00 грн.",,
15,"Брускета з тунцем, авокадо та соусом песто",45,,"107,00 грн.","0,00 грн.",,
16,"Брускета з качиним магре, грушею конфі та малиновим гелем",55,,"125,00 грн.","0,00 грн.",,
17,Брускета з консервованим тунцем і томатом конфі,55,,"105,00 грн.","0,00 грн.",,
18,"Брускета з телятиною су-від, соусом тонато та лист фрізе",45,,"131,00 грн.","0,00 грн.",,
19,Брускета капрезе,50,,"100,00 грн.","0,00 грн.",,
20,"Брускета з ростбіфом, айолі м'ята та в'яленим томатом",45,,"126,00 грн.","0,00 грн.",,
21,Брускета з джемом з вишні та сиром брі,45,,"91,00 грн.","0,00 грн.",,
22,"Брускета з рікотою, прошуто та вишнею",50,,"101,00 грн.","0,00 грн.",,
23,"Брускета з пармезаном, виноградом Кардинал та медом",47,,"119,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
24,Брускета з курячим пате та цибулевим конфітюром,45,,"95,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
25,"Брускета з маринованим персиком, прошуто та мигдалем",50,,"101,00 грн.","0,00 грн.",,
26,"Брускета з беконом, гірчицею та солоними огірками",45,,"86,00 грн.","0,00 грн.",,
27,"Брускета з песто, креветкою та томатом",45,,"125,00 грн.","0,00 грн.",,
28,"Брускета з трюфельним айолі, ростбіфом томатами",45,,"126,00 грн.","0,00 грн.",,
29,Брускета з курячим філе і сферою з манго,45,,"92,00 грн.","0,00 грн.",,
30,Брускета з хумусом та грибами,45,,"80,00 грн.","0,00 грн.",,
31,"Брускета з песто, індичкою та томатом",45,,"101,00 грн.","0,00 грн.",,
32,"Брускета з песто, салямі, моцарелою та в'яленим томатом.",45,,"104,00 грн.","0,00 грн.",,
33,Брускета з салатом Чука та креветкою,50,,"128,00 грн.","0,00 грн.",,
34,Брускета з горіхами та салатом Чука у кунжутному соусі,40,,"97,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
