,Комплексні обіди,,,,,,
,,,,,,*швидко втрачає свій смак/вигляд ,
№ п/п,Комплексний обід №1,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Грибний крем-суп,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат Панцанела: томат рожевий, томат бурий, томат жовтий, базилік, чіабата, сіль, перець, оливкова олія",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Котлета по - київськи рубана,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,"Смажені коренеплоди з цедрою лимона, часником та ароматними травами",150,,"45,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Напої,,,,,,
1,"Лимонад ""Цитрусовий""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №2,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Овочевий мінестроне,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат Гурман: бекон, сир Пармезан, лист салату, помідор, яйце, сухарики, соус",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Теріяки курка з ананасом ,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Картопля по-домашньому,150,,"45,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Напої,,,,,,
1,"Лимонад ""Огірковий""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №3,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Пшоняний суп,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,Салат з буряка та бринзи,150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Філе скумбрії фаршироване помідорами та зеленню,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Макарони Фузіллі,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Лимонад ""Мохіто""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №4,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Сирний крем-суп з сухариками,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,Салат Грецький з сиром Фета,150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Філе тиляпії в апетитному клярі,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Відварена картопля з зеленню,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Морс ""Ягідний""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №5,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Гороховий крем-суп із сухариками,250,,"73,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Салат ,,,,,,
1,"Салат ""Шопський"": помідор, огірок, цибуля Ялта, сир ""Едем"", зелень",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Брошети курячі Теріякі,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Різотто з вершками,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Морс ""Ягідний""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №6,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Суп з броколі та селери,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат ""Сніданок по-грецьки"": молода кортопля, сир Фета, цукіні, маслини, пучок чебрецю",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Котлета куряча,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Кус-кус,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Морс ""Ягідний""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №7,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Гороховий суп,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат з беконом, куркою, свіжим огірком, грінками, соусом ""грін-чіз""",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Хрусткі курячі крила з соусом Тар-тар,100,,"88,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
,Гарнір,,,,,,
1,Відварена картопля з зеленню,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Лимонад ""Цитрусовий""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №8,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
