,Холодні закуски,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Холодні рибні закуски,,,,,,
1,Ніжне філе слабосоленого лосося з олію та кріпом,150,,"865,00 грн.","0,00 грн.",,
2,"Асорті ""Рибна симфонія"": філе лосося с/с, масляна с/с, млинці з лососевою ікрою",210,,"991,00 грн.","0,00 грн.",,
3,Оселедець з картоплею і червоною цибулею,150,,"261,00 грн.","0,00 грн.",,
4,Сьомга с/с,100,,"624,00 грн.","0,00 грн.",,
5,Масляна х/к,100,,"580,00 грн.","0,00 грн.",,
6,Оселедець іспанський у винному соусі,100,,"114,00 грн.","0,00 грн.",,
7,Оселедець норвезький з цибулею,100,,"186,00 грн.","0,00 грн.",,
8,"Закуска з авокадо, помідорів та тигрових креветок",150/80,,"1 101,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
,Холодні м'ясні закуски,,,,,,
1,"Тарілка сала (генеральське сало, мариноване сало, копчене сало)",200,,"268,00 грн.","0,00 грн.",,
2,"""М'ясна симфонія"" (ковбаса домашня, кров'янка, буженина, окіст курячий, телятина)",100,,"275,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
3,"Домашнє м'ясне асорті (буженина, рулет курячий, домашня ковбаса, хрін, гірчиця)",150/65,,"302,00 грн.","0,00 грн.",,
4,"Асорті м'ясне (ковбаса с/к, балик с/к, бекон, помідор Черрі, зелень)",150/25,,"384,00 грн.","0,00 грн.",,
5,"М'ясне асорті 2 (Пармський окіст, М'ясо Чорізо, Хамон, Салямі)",150/20,,"854,00 грн.","0,00 грн.",,
6,"М'ясне асорті 3 (Брезаолла, Бастурма, Махана, філе копчене куряче, помідор Чері, зелень)",250,,"823,00 грн.","0,00 грн.",,
7,Роли з шинки з мусом із сиру Філадельфія,100,,"226,00 грн.","0,00 грн.",,
8,Рулет зі свинини з чорносливом,100,,"385,00 грн.","0,00 грн.",,
9,Ростбіф,100,,"435,00 грн.","0,00 грн.",,
10,Буженина,100,,"194,00 грн.","0,00 грн.",,
11,"Студень асорті: телятина, курка, кролик, свиняча гомілка, хрін, гірчиця",250,,"478,00 грн.","0,00 грн.",,
12,"Торт печінковий, млинцевий",100,,"155,00 грн.","0,00 грн.",,
13,Курячий паштет із кюлі з манго,80,,"119,00 грн.","0,00 грн.",,🌶️ Перець гострий  та продукти з нього
14,Міні заливне з вершковим хріном,110,,"146,00 грн.","0,00 грн.",,
,"Овочеві закуски, сири та маринади",,,,,,
1,"Асорті елітних сирів: сир Рокфор, сир Пармезан, сир Камамбер, мед, грисіні, виноград",150/75,,"819,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
2,"Сирна конкеса (сири: Брі, Рокфор, Данаблю, Пармезан, Маасдам, виноград, мигдальний горіх, мед, м'ята)",200/50,,"897,00 грн.","0,00 грн.",,"🍯 Мед, 🥜 Горіхи та продукти з них"
3,"Сирна конкеса: сир Голландський, сир Едам, сир Маасдам, сир Адигейський, сир Чечіл, помідорчик чері, м'ята, мед",200/50,,"454,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
4,"Сирна конкеса (сири: Basilico, Мармуровий, Едам, Радомер, Голландський, мигдальний горіх, виноград, мед, м'ята)",200/50,,"612,00 грн.","0,00 грн.",,"🍯 Мед, 🥜 Горіхи та продукти з них"
5,"Асорті білих (розсольних) сирів (Сулугуні, Бринза, Моцарелла, мед, сухофрукти)",150/70,,"425,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
